organism,termination_ll_fba,time_ll_fba,termination_cb,time_cb,termination_cb_big_m,time_cb_big_m,termination_cb_mis_0.1,time_cb_mis_0.1,termination_cb_big_m_mis_0.1,time_cb_big_m_mis_0.1,termination_cb_mis_0.5,time_cb_mis_0.5,termination_cb_big_m_mis_0.5,time_cb_big_m_mis_0.5,termination_cb_big_m_mis_0.5_density_5,time_cb_big_m_mis_0.5_density_5,termination_cb_big_m_mis_0.5_density_10,time_cb_big_m_mis_0.5_density_10,termination_cb_big_m_mis_0.5_density_15,time_cb_big_m_mis_0.5_density_15,termination_cb_big_m_mis_0.5_density_20,time_cb_big_m_mis_0.5_density_20,termination_cb_big_m_mis_0.5_distinct_cuts,time_cb_big_m_mis_0.5_distinct_cuts,termination_cb_mis_1.0,time_cb_mis_1.0,termination_cb_big_m_mis_1.0,time_cb_big_m_mis_1.0,termination_cb_mis_2.0,time_cb_mis_2.0,termination_cb_mis_2.0_density_5,time_cb_mis_2.0_density_5,termination_cb_mis_2.0_density_10,time_cb_mis_2.0_density_10,termination_cb_mis_2.0_density_15,time_cb_mis_2.0_density_15,termination_cb_mis_2.0_density_20,time_cb_mis_2.0_density_20,termination_cb_mis_2.0_distinct_cuts,time_cb_mis_2.0_distinct_cuts,termination_cb_big_m_mis_2.0,time_cb_big_m_mis_2.0,termination_cb_mis_5.0,time_cb_mis_5.0,termination_cb_big_m_mis_5.0,time_cb_big_m_mis_5.0,termination_cb_mis_10.0,time_cb_mis_10.0,termination_cb_big_m_mis_10.0,time_cb_big_m_mis_10.0,termination_cb_mis_20.0,time_cb_mis_20.0,termination_cb_big_m_mis_20.0,time_cb_big_m_mis_20.0,termination_cb_mis_30.0,time_cb_mis_30.0,termination_cb_big_m_mis_30.0,time_cb_big_m_mis_30.0
iJR904,OPTIMAL,9,OPTIMAL,21,OPTIMAL,12,OPTIMAL,22,OPTIMAL,11,OPTIMAL,17,OPTIMAL,8,OPTIMAL,8,OPTIMAL,12,OPTIMAL,12,OPTIMAL,13,OPTIMAL,14,OPTIMAL,15,OPTIMAL,8,OPTIMAL,22,OPTIMAL,16,OPTIMAL,15,OPTIMAL,15,OPTIMAL,14,OPTIMAL,18,OPTIMAL,7,OPTIMAL,18,OPTIMAL,9,OPTIMAL,22,OPTIMAL,9,OPTIMAL,19,OPTIMAL,78,OPTIMAL,35,OPTIMAL,14
iEK1008,OPTIMAL,473,OPTIMAL,20,OPTIMAL,9,OPTIMAL,20,OPTIMAL,7,OPTIMAL,14,OPTIMAL,7,OPTIMAL,7,OPTIMAL,7,OPTIMAL,7,OPTIMAL,8,OPTIMAL,11,OPTIMAL,13,OPTIMAL,6,OPTIMAL,15,OPTIMAL,15,OPTIMAL,19,OPTIMAL,14,OPTIMAL,14,OPTIMAL,22,OPTIMAL,6,OPTIMAL,20,OPTIMAL,10,OPTIMAL,23,OPTIMAL,9,OPTIMAL,20,OPTIMAL,21,OPTIMAL,25,OPTIMAL,10
iCN900,OPTIMAL,0,OPTIMAL,11,OPTIMAL,6,OPTIMAL,20,OPTIMAL,6,OPTIMAL,10,OPTIMAL,6,OPTIMAL,7,OPTIMAL,7,OPTIMAL,7,OPTIMAL,7,OPTIMAL,9,OPTIMAL,11,OPTIMAL,6,OPTIMAL,10,OPTIMAL,15,OPTIMAL,16,OPTIMAL,16,OPTIMAL,15,OPTIMAL,12,OPTIMAL,6,OPTIMAL,11,OPTIMAL,6,OPTIMAL,16,OPTIMAL,9,OPTIMAL,213,OPTIMAL,10,OPTIMAL,185,OPTIMAL,25
iYO844,TIME_LIMIT,1800,OPTIMAL,26,OPTIMAL,8,OPTIMAL,17,OPTIMAL,11,OPTIMAL,15,OPTIMAL,7,OPTIMAL,8,OPTIMAL,8,OPTIMAL,8,OPTIMAL,8,OPTIMAL,8,OPTIMAL,17,OPTIMAL,7,OPTIMAL,21,OPTIMAL,29,OPTIMAL,14,OPTIMAL,15,OPTIMAL,15,OPTIMAL,21,OPTIMAL,7,OPTIMAL,22,OPTIMAL,9,OPTIMAL,18,OPTIMAL,8,OPTIMAL,14,OPTIMAL,10,OPTIMAL,22,OPTIMAL,49
iND750,OPTIMAL,8,OPTIMAL,46,OPTIMAL,10,OPTIMAL,51,OPTIMAL,13,OPTIMAL,38,OPTIMAL,8,OPTIMAL,18,OPTIMAL,9,OPTIMAL,10,OPTIMAL,10,OPTIMAL,15,OPTIMAL,30,OPTIMAL,9,OPTIMAL,28,OPTIMAL,24,OPTIMAL,21,OPTIMAL,38,OPTIMAL,25,OPTIMAL,26,OPTIMAL,9,OPTIMAL,37,OPTIMAL,10,OPTIMAL,24,OPTIMAL,19,OPTIMAL,44,OPTIMAL,15,OPTIMAL,50,OPTIMAL,43
iMM904,OPTIMAL,650,OPTIMAL,154,OPTIMAL,24,OPTIMAL,69,OPTIMAL,14,OPTIMAL,45,OPTIMAL,12,OPTIMAL,26,OPTIMAL,24,OPTIMAL,21,OPTIMAL,22,OPTIMAL,17,OPTIMAL,37,OPTIMAL,9,OPTIMAL,77,OPTIMAL,60,OPTIMAL,53,OPTIMAL,42,OPTIMAL,42,OPTIMAL,45,OPTIMAL,10,OPTIMAL,25,OPTIMAL,33,OPTIMAL,84,OPTIMAL,70,OPTIMAL,100,OPTIMAL,146,OPTIMAL,144,OPTIMAL,183
iRC1080,OPTIMAL,373,TIME_LIMIT,1800,OPTIMAL,264,OPTIMAL,806,OPTIMAL,125,OPTIMAL,246,OPTIMAL,77,OPTIMAL,110,OPTIMAL,61,OPTIMAL,133,ERROR,,OPTIMAL,133,OPTIMAL,208,OPTIMAL,63,OPTIMAL,223,OPTIMAL,522,OPTIMAL,308,OPTIMAL,226,OPTIMAL,192,OPTIMAL,125,OPTIMAL,131,OPTIMAL,305,INFEASIBLE,1,OPTIMAL,312,OPTIMAL,412,OPTIMAL,678,OPTIMAL,290,OPTIMAL,400,ERROR,
iAF1260,TIME_LIMIT,1800,OPTIMAL,166,OPTIMAL,39,OPTIMAL,203,OPTIMAL,27,OPTIMAL,58,OPTIMAL,20,OPTIMAL,20,OPTIMAL,17,OPTIMAL,22,OPTIMAL,21,OPTIMAL,18,OPTIMAL,54,OPTIMAL,18,OPTIMAL,70,OPTIMAL,124,OPTIMAL,46,OPTIMAL,96,OPTIMAL,55,OPTIMAL,130,OPTIMAL,15,OPTIMAL,44,OPTIMAL,15,OPTIMAL,89,OPTIMAL,42,OPTIMAL,165,OPTIMAL,89,OPTIMAL,239,OPTIMAL,1712
iSDY_1059,OPTIMAL,1457,OPTIMAL,273,OPTIMAL,46,OPTIMAL,89,OPTIMAL,24,OPTIMAL,76,OPTIMAL,16,OPTIMAL,16,OPTIMAL,17,OPTIMAL,17,OPTIMAL,15,OPTIMAL,17,OPTIMAL,56,OPTIMAL,16,OPTIMAL,63,OPTIMAL,92,OPTIMAL,92,OPTIMAL,122,OPTIMAL,118,OPTIMAL,70,OPTIMAL,27,OPTIMAL,156,TIME_LIMIT,1800,OPTIMAL,117,TIME_LIMIT,1800,OPTIMAL,119,TIME_LIMIT,1800,OPTIMAL,95,OPTIMAL,199
STM_v1_0,TIME_LIMIT,1800,OPTIMAL,105,OPTIMAL,23,OPTIMAL,50,OPTIMAL,12,OPTIMAL,50,OPTIMAL,12,OPTIMAL,12,OPTIMAL,13,OPTIMAL,13,OPTIMAL,13,OPTIMAL,18,OPTIMAL,42,OPTIMAL,11,OPTIMAL,64,OPTIMAL,60,OPTIMAL,45,OPTIMAL,55,OPTIMAL,40,OPTIMAL,41,OPTIMAL,9,OPTIMAL,49,OPTIMAL,52,OPTIMAL,42,TIME_LIMIT,1800,OPTIMAL,55,OPTIMAL,934,OPTIMAL,213,OPTIMAL,1565
