organism,time_limit,seed,mean,tolerance,termination_loopless_fba_gecko_tol_1.0e-8,objective_value_loopless_fba_gecko_tol_1.0e-8,time_loopless_fba_gecko_tol_1.0e-8,feasibility_loopless_fba_gecko_tol_1.0e-8,termination_combinatorial_benders_gecko_fast_big_m_tol_1.0e-8,objective_value_combinatorial_benders_gecko_fast_big_m_tol_1.0e-8,time_combinatorial_benders_gecko_fast_big_m_tol_1.0e-8,feasibility_combinatorial_benders_gecko_fast_big_m_tol_1.0e-8,termination_combinatorial_benders_gecko_fast_big_m_0.5_tol_1.0e-8,objective_value_combinatorial_benders_gecko_fast_big_m_0.5_tol_1.0e-8,time_combinatorial_benders_gecko_fast_big_m_0.5_tol_1.0e-8,feasibility_combinatorial_benders_gecko_fast_big_m_0.5_tol_1.0e-8
STM_v1_0,1800,10,1.2,1.0e-8,TIME_LIMIT,0.0,1800.002945,false,OPTIMAL,0.5367526945854173,7.748307943344116,true,OPTIMAL,0.5367526945854173,8.73026704788208,true
STM_v1_0,1800,10,1.5,1.0e-8,TIME_LIMIT,,1800.001112,false,ERROR,,NaN,false,ERROR,,NaN,false
iAPECO1_1312,1800,10,1.0,1.0e-8,TIME_LIMIT,0.0,1800.000773,false,OPTIMAL,0.48614513465639453,7.635362148284912,true,OPTIMAL,0.48614513465639453,8.538803100585938,true
iAPECO1_1312,1800,10,1.2,1.0e-8,TIME_LIMIT,0.0,1800.000636,false,OPTIMAL,0.7848357624092799,7.3334059715271,true,OPTIMAL,0.7848357624092799,8.107322931289673,true
iAPECO1_1312,1800,10,1.5,1.0e-8,TIME_LIMIT,,1800.00072,false,ERROR,,NaN,false,ERROR,,NaN,false
iECB_1328,1800,10,1.0,1.0e-8,TIME_LIMIT,0.0,1800.001886,false,OPTIMAL,0.3943778695351155,13.188517093658447,true,OPTIMAL,0.3943778695351155,14.37033200263977,true
iECB_1328,1800,10,1.2,1.0e-8,TIME_LIMIT,,1800.005413,false,OPTIMAL,0.6423381647870913,7.7112579345703125,true,OPTIMAL,0.6423381647870913,8.55149507522583,true
iECB_1328,1800,10,1.5,1.0e-8,TIME_LIMIT,,1800.000868,false,OPTIMAL,1.3110407980890544,11.45565390586853,true,OPTIMAL,1.3110407980890544,12.599063873291016,true
iETEC_1333,1800,10,1.0,1.0e-8,TIME_LIMIT,,1800.000986,false,OPTIMAL,0.13200702700619066,8.071705102920532,true,OPTIMAL,0.13200702700619066,9.11127495765686,true
iETEC_1333,1800,10,1.2,1.0e-8,TIME_LIMIT,,1800.001201,false,OPTIMAL,0.2279878437748349,8.037649154663086,true,OPTIMAL,0.2279878437748349,8.893173933029175,true
iETEC_1333,1800,10,1.5,1.0e-8,TIME_LIMIT,,1800.00128,false,OPTIMAL,0.48683620343004597,8.50923204421997,true,OPTIMAL,0.48683620343004597,9.509262084960938,true
iHN637,1800,10,1.0,1.0e-8,OPTIMAL,0.6621751382792723,27.933522,true,OPTIMAL,0.662175165463256,4.855484962463379,true,OPTIMAL,0.662175165463256,5.34356689453125,true
iHN637,1800,10,1.2,1.0e-8,OPTIMAL,1.0507924505625466,22.319085,true,OPTIMAL,1.0507924505625454,5.302804946899414,true,OPTIMAL,1.0507924505625454,5.320267915725708,true
iHN637,1800,10,1.5,1.0e-8,OPTIMAL,2.0988451893855187,5.940455,true,OPTIMAL,2.098845230175234,5.284198045730591,true,OPTIMAL,2.098845230175234,5.341193914413452,true
iJB785,1800,10,1.0,1.0e-8,OPTIMAL,0.0,0.4942,true,OPTIMAL,0.008427924279038162,4.7094151973724365,true,OPTIMAL,0.008427924279038162,5.341230154037476,true
iJB785,1800,10,1.2,1.0e-8,OPTIMAL,0.0,0.218942,true,ERROR,,NaN,false,ERROR,,NaN,false
iJB785,1800,10,1.5,1.0e-8,OPTIMAL,0.0,0.298938,true,ERROR,,NaN,false,ERROR,,NaN,false
iLB1027_lipid,1800,10,1.0,1.0e-8,TIME_LIMIT,0.0,1800.001646,false,OPTIMAL,0.021313502200321063,12.523854970932007,true,OPTIMAL,0.021313502200321063,12.488582134246826,true
