organism,time_limit,termination_ll_fba,objective_value_ll_fba,time_ll_fba,feasibility_ll_fba,seed,termination_fba,objective_value_fba,time_fba,feasibility_fba,termination_cb,objective_value_cb,time_cb,feasibility_cb,cuts_cb,iter_cb,times_master_problem_cb,times_sub_problem_cb,times_mis_problem_cb,termination_cb_big_m,objective_value_cb_big_m,time_cb_big_m,feasibility_cb_big_m,cuts_cb_big_m,iter_cb_big_m,termination_cb_indicator_and_big_m,objective_value_cb_indicator_and_big_m,time_cb_indicator_and_big_m,feasibility_cb_indicator_and_big_m,cuts_cb_indicator_and_big_m,iter_cb_indicator_and_big_m,metabolites,reactions
iS_1188,1800,TIME_LIMIT,0.0,1800,false,2,OPTIMAL,0.0,1,true,ERROR,,,false,,,,,,ERROR,,,false,,,ERROR,,,false,,,1914,2619
iS_1188,1800,TIME_LIMIT,0.0,1800,false,3,OPTIMAL,0.0,1,true,ERROR,,,false,,,,,,ERROR,,,false,,,ERROR,,,false,,,1914,2619
iSFV_1184,1800,OPTIMAL,0.0,1320,true,1,OPTIMAL,0.0,1,true,ERROR,,,false,,,,,,OPTIMAL,0.49,8,true,0,1,ERROR,,,false,,,1917,2621
iSFV_1184,1800,TIME_LIMIT,0.0,1800,false,2,OPTIMAL,0.0,0,true,OPTIMAL,0.625,42,true,0,1,30,0,4,OPTIMAL,0.625,7,true,0,1,OPTIMAL,0.625,27,true,0,1,1917,2621
iSFV_1184,1800,TIME_LIMIT,NaN,1800,false,3,OPTIMAL,0.0,0,true,ERROR,,,false,,,,,,OPTIMAL,0.0,8,true,0,1,ERROR,,,false,,,1917,2621
iSF_1195,1800,TIME_LIMIT,NaN,1800,false,1,OPTIMAL,0.0,1,true,ERROR,,,false,,,,,,OPTIMAL,0.0,7,true,0,1,ERROR,,,false,,,1917,2630
iSF_1195,1800,OPTIMAL,0.0,101,true,2,OPTIMAL,0.0,0,true,ERROR,,,false,,,,,,ERROR,,,false,,,ERROR,,,false,,,1917,2630
iSF_1195,1800,TIME_LIMIT,NaN,1800,false,3,OPTIMAL,0.0,1,true,OPTIMAL,0.239,35,true,0,1,23,0,4,OPTIMAL,0.239,10,true,0,1,OPTIMAL,0.239,22,true,0,1,1917,2630
iML1515,1800,OPTIMAL,0.0,721,true,1,OPTIMAL,0.414,1,true,OPTIMAL,0.414,59,true,0,1,45,0,4,ERROR,,,false,,,OPTIMAL,0.414,25,true,0,1,1877,2712
iML1515,1800,TIME_LIMIT,NaN,1800,false,2,OPTIMAL,0.0,1,true,ERROR,,,false,,,,,,ERROR,,,false,,,ERROR,,,false,,,1877,2712
iML1515,1800,TIME_LIMIT,NaN,1800,false,3,OPTIMAL,0.0,1,true,ERROR,,,false,,,,,,ERROR,,,false,,,ERROR,,,false,,,1877,2712
