organism,time_limit,seed,mean,tolerance,termination_loopless_fba_gecko_tol_1.0e-8,objective_value_loopless_fba_gecko_tol_1.0e-8,time_loopless_fba_gecko_tol_1.0e-8,feasibility_loopless_fba_gecko_tol_1.0e-8,iter_loopless_fba_gecko_tol_1.0e-8,termination_combinatorial_benders_gecko_fast_big_m_tol_1.0e-8,objective_value_combinatorial_benders_gecko_fast_big_m_tol_1.0e-8,time_combinatorial_benders_gecko_fast_big_m_tol_1.0e-8,feasibility_combinatorial_benders_gecko_fast_big_m_tol_1.0e-8,iter_combinatorial_benders_gecko_fast_big_m_tol_1.0e-8,termination_combinatorial_benders_gecko_fast_big_m_0.5_tol_1.0e-8,objective_value_combinatorial_benders_gecko_fast_big_m_0.5_tol_1.0e-8,time_combinatorial_benders_gecko_fast_big_m_0.5_tol_1.0e-8,feasibility_combinatorial_benders_gecko_fast_big_m_0.5_tol_1.0e-8,iter_combinatorial_benders_gecko_fast_big_m_0.5_tol_1.0e-8
iSF_1195,1800,10,1.0,1.0e-8,TIME_LIMIT,,1800.000792,false,,ERROR,,NaN,false,,ERROR,,NaN,false,
iSF_1195,1800,10,1.2,1.0e-8,TIME_LIMIT,0.0,1800.000886,false,,OPTIMAL,0.5647348348499549,8.295444965362549,true,1,OPTIMAL,0.5647348348499549,9.528409004211426,true,1
iSF_1195,1800,10,1.5,1.0e-8,TIME_LIMIT,0.0,1800.001345,false,,OPTIMAL,1.1477974488012366,8.555338859558105,true,1,OPTIMAL,1.1477974488012366,9.628301858901978,true,1
iSF_1195,1800,10,4.0,1.0e-8,OPTIMAL,0.0,317.56859,true,,ERROR,,NaN,false,,ERROR,,NaN,false,
iSF_1195,1800,10,5.0,1.0e-8,TIME_LIMIT,,1800.001368,false,,ERROR,,NaN,false,,ERROR,,NaN,false,
iS_1188,1800,10,1.0,1.0e-8,TIME_LIMIT,,1800.000749,false,,OPTIMAL,0.3317815714696249,7.2491748332977295,true,1,OPTIMAL,0.3317815714696249,7.888341903686523,true,1
iS_1188,1800,10,1.2,1.0e-8,TIME_LIMIT,0.0,1800.001305,false,,OPTIMAL,0.5380445215188364,8.253798961639404,true,1,OPTIMAL,0.5380445215188364,8.495402097702026,true,1
iS_1188,1800,10,1.5,1.0e-8,TIME_LIMIT,,1800.000876,false,,OPTIMAL,1.094309739252213,8.169444799423218,true,1,OPTIMAL,1.094309739252213,8.002380132675171,true,1
iS_1188,1800,10,4.0,1.0e-8,OPTIMAL,0.0,233.074414,true,,ERROR,,NaN,false,,ERROR,,NaN,false,
iS_1188,1800,10,5.0,1.0e-8,OPTIMAL,0.0,392.675346,true,,ERROR,,NaN,false,,ERROR,,NaN,false,
iSbBS512_1146,1800,10,1.0,1.0e-8,TIME_LIMIT,,1800.000652,false,,OPTIMAL,0.09881412538828221,8.301983118057251,true,1,OPTIMAL,0.09881412538828221,8.32918095588684,true,1
iSbBS512_1146,1800,10,1.2,1.0e-8,TIME_LIMIT,,1800.000647,false,,OPTIMAL,0.16263559997964466,7.907542943954468,true,1,OPTIMAL,0.16263559997964466,7.908293008804321,true,1
iSbBS512_1146,1800,10,1.5,1.0e-8,TIME_LIMIT,,1800.002415,false,,OPTIMAL,0.33475362688975013,7.169148921966553,true,1,OPTIMAL,0.33475362688975013,8.106781959533691,true,1
iSbBS512_1146,1800,10,4.0,1.0e-8,OPTIMAL,0.0,378.088216,true,,OPTIMAL,31.29682725002527,28.062726974487305,true,19,OPTIMAL,31.296827250025515,15.786530017852783,true,2
iSbBS512_1146,1800,10,5.0,1.0e-8,TIME_LIMIT,,1800.00081,false,,OPTIMAL,0.0,484.3922131061554,true,529,OPTIMAL,0.0,84.03572511672974,true,22
Recon3D,1800,10,1.0,1.0e-8,TIME_LIMIT,,1800.032762,false,,TIME_LIMIT,199.94735774180623,2045.4437630176544,false,14,TIME_LIMIT,199.9473577418062,2159.5095179080963,false,3
Recon3D,1800,10,1.2,1.0e-8,TIME_LIMIT,,1926.73723,false,,TIME_LIMIT,258.13316720401036,1826.305671930313,false,23,ERROR,,NaN,false,
Recon3D,1800,10,1.5,1.0e-8,TIME_LIMIT,,1800.188237,false,,TIME_LIMIT,350.5206293461851,1808.015823841095,false,29,TIME_LIMIT,350.5206293461851,2035.0377609729767,false,3
Recon3D,1800,10,4.0,1.0e-8,TIME_LIMIT,,1800.037257,false,,TIME_LIMIT,755.0032155506633,1845.1226258277893,false,24,TIME_LIMIT,755.0032155506632,2547.250073194504,false,4
Recon3D,1800,10,5.0,1.0e-8,TIME_LIMIT,,1800.044396,false,,TIME_LIMIT,755.003215550663,1805.7629418373108,false,77,TIME_LIMIT,755.0032155506632,1954.6040179729462,false,4
STM_v1_0,1800,10,1.0,1.0e-8,TIME_LIMIT,0.0,1800.001134,false,,OPTIMAL,0.3272999104002899,7.944760084152222,true,1,OPTIMAL,0.3272999104002899,7.900230884552002,true,1
STM_v1_0,1800,10,1.2,1.0e-8,TIME_LIMIT,0.0,1800.002945,false,,OPTIMAL,0.5367526945854173,7.748307943344116,true,1,OPTIMAL,0.5367526945854173,8.73026704788208,true,1
STM_v1_0,1800,10,1.5,1.0e-8,TIME_LIMIT,,1800.001112,false,,ERROR,,NaN,false,,ERROR,,NaN,false,
STM_v1_0,1800,10,4.0,1.0e-8,TIME_LIMIT,0.0,1800.564062,false,,OPTIMAL,30.135856939093745,36.08886003494263,true,25,ERROR,,NaN,false,
STM_v1_0,1800,10,5.0,1.0e-8,TIME_LIMIT,0.0,1800.000712,false,,ERROR,,NaN,false,,OPTIMAL,30.13585693909366,96.33774518966675,true,26
iAPECO1_1312,1800,10,1.0,1.0e-8,TIME_LIMIT,0.0,1800.000773,false,,OPTIMAL,0.48614513465639453,7.635362148284912,true,1,OPTIMAL,0.48614513465639453,8.538803100585938,true,1
iAPECO1_1312,1800,10,1.2,1.0e-8,TIME_LIMIT,0.0,1800.000636,false,,OPTIMAL,0.7848357624092799,7.3334059715271,true,1,OPTIMAL,0.7848357624092799,8.107322931289673,true,1
iAPECO1_1312,1800,10,1.5,1.0e-8,TIME_LIMIT,,1800.00072,false,,ERROR,,NaN,false,,ERROR,,NaN,false,
iAPECO1_1312,1800,10,4.0,1.0e-8,OPTIMAL,0.0,1392.356841,true,,OPTIMAL,31.288678150078127,38.34751296043396,true,21,OPTIMAL,31.288678150077807,15.32685899734497,true,2
